player_id,team_name
650496,Milwaukee Brewers
571948,Milwaukee Brewers
553882,Milwaukee Brewers
642547,Milwaukee Brewers
606131,Milwaukee Brewers
607054,Milwaukee Brewers
592669,Milwaukee Brewers
622569,Milwaukee Brewers
573124,Milwaukee Brewers
592712,Milwaukee Brewers
667376,Milwaukee Brewers
600474,Milwaukee Brewers
663629,Milwaukee Brewers
657265,Milwaukee Brewers
608718,Milwaukee Brewers
621438,Milwaukee Brewers
642133,Milwaukee Brewers
649966,Milwaukee Brewers
642207,Milwaukee Brewers
543939,Milwaukee Brewers
605540,Milwaukee Brewers
592885,Milwaukee Brewers
666176,Los Angeles Angels
607457,Los Angeles Angels
642545,Los Angeles Angels
605151,Los Angeles Angels
445926,Los Angeles Angels
656353,Los Angeles Angels
672282,Los Angeles Angels
646242,Los Angeles Angels
622110,Los Angeles Angels
664058,Los Angeles Angels
594838,Los Angeles Angels
656509,Los Angeles Angels
623474,Los Angeles Angels
628452,Los Angeles Angels
676083,Los Angeles Angels
501571,Los Angeles Angels
547179,Los Angeles Angels
571901,Los Angeles Angels
676950,Los Angeles Angels
669016,Los Angeles Angels
665896,Los Angeles Angels
594577,Los Angeles Angels
608686,Los Angeles Angels
666160,Los Angeles Angels
572383,Los Angeles Angels
660271,Los Angeles Angels
661383,Los Angeles Angels
665625,Los Angeles Angels
650671,Los Angeles Angels
543685,Los Angeles Angels
650859,Los Angeles Angels
670351,Los Angeles Angels
670046,Los Angeles Angels
663776,Los Angeles Angels
642423,Los Angeles Angels
681217,Los Angeles Angels
545358,Los Angeles Angels
683021,Los Angeles Angels
660761,Los Angeles Angels
435559,Los Angeles Angels
592789,Los Angeles Angels
572193,Los Angeles Angels
642136,Los Angeles Angels
605504,Los Angeles Angels
657053,Los Angeles Angels
545361,Los Angeles Angels
491624,Los Angeles Angels
623205,Los Angeles Angels
542340,Los Angeles Angels
642180,Los Angeles Angels
595453,Los Angeles Angels
665120,Los Angeles Angels
681806,Los Angeles Angels
621493,Los Angeles Angels
681810,Los Angeles Angels
664334,Los Angeles Angels
542583,Miami Marlins
645261,Miami Marlins
605119,Miami Marlins
553902,Miami Marlins
542914,Miami Marlins
669622,Miami Marlins
542932,Miami Marlins
668709,Miami Marlins
542947,Miami Marlins
623211,Miami Marlins
656257,Miami Marlins
665795,Miami Marlins
641447,Miami Marlins
665862,Miami Marlins
643265,Miami Marlins
650559,Miami Marlins
650331,Miami Marlins
656388,Miami Marlins
666464,Miami Marlins
670288,Miami Marlins
571670,Miami Marlins
663743,Miami Marlins
541645,Miami Marlins
666129,Miami Marlins
570481,Miami Marlins
571740,Miami Marlins
545343,Miami Marlins
668721,Miami Marlins
622694,Miami Marlins
656548,Miami Marlins
